participant_id,allocation_block_id,internal_assignment,status
A-001,A-BLOCK-1,A-1,UNUSED
A-002,A-BLOCK-1,A-2,UNUSED
A-003,A-BLOCK-1,A-3,UNUSED
A-004,A-BLOCK-1,A-4,UNUSED
A-005,A-BLOCK-1,A-5,UNUSED
A-006,A-BLOCK-1,A-6,UNUSED
A-007,A-BLOCK-2,A-1,UNUSED
A-008,A-BLOCK-2,A-2,UNUSED
A-009,A-BLOCK-2,A-3,UNUSED
A-010,A-BLOCK-2,A-4,UNUSED
A-011,A-BLOCK-2,A-5,UNUSED
A-012,A-BLOCK-2,A-6,UNUSED
A-013,A-BLOCK-3,A-1,UNUSED
A-014,A-BLOCK-3,A-2,UNUSED
A-015,A-BLOCK-3,A-3,UNUSED
A-016,A-BLOCK-3,A-4,UNUSED
A-017,A-BLOCK-3,A-5,UNUSED
A-018,A-BLOCK-3,A-6,UNUSED
