relation_id,source_type,source_id,relation_type,target_type,target_id,evidence_ids,directness,scope_match,status,rationale,notes
"REL-001","source","SRC-01","supports","gap","GAP-01","SRC-01","partial","exact","verified","The venue call establishes a situated quality problem across purpose, context, and audience.","Does not establish exact-project novelty."
"REL-002","prior_work","SRC-02","supports","gap","GAP-01","SRC-02","partial","partial","verified","Evaluation fit motivates examining quality across knowledge-production stages.","Adjacent rather than direct evidence."
"REL-003","prior_work","SRC-03","supports","gap","GAP-01","SRC-03","partial","partial","verified","Ambiguity-as-resource establishes that closure is not always the proper design objective.","Does not establish contestability trajectory."
"REL-004","prior_work","SRC-02","supports","gap","GAP-02","SRC-02","direct","partial","verified","The right-tool-for-the-job framing directly motivates construct-matched evaluation.","Study context differs."
"REL-005","evidence","EVD-02","supports","gap","GAP-02","EVD-02","partial","partial","verified","CAC provides a local case where reliability did not repair construct mismatch.","Different domain; motivation only."
"REL-006","source","SRC-01","supports","gap","GAP-04","SRC-01","partial","exact","verified","The CFP explicitly foregrounds situated and conflicting judgements of quality.","Warrant classes are not supplied by the source."
"REL-007","contribution","CON-01","addresses","gap","GAP-01","","direct","exact","verified","The sequential empirical account is designed for the cross-stage gap.","Evidence path remains planned."
"REL-008","contribution","CON-02","addresses","gap","GAP-02","","direct","exact","verified","Study B directly compares evaluation protocols.","Evidence path remains planned."
"REL-009","contribution","CON-03","addresses","gap","GAP-03","","direct","exact","verified","The implemented apparatus provides controlled local manipulation and traceability.","Ecological validity remains bounded."
"REL-010","contribution","CON-04","addresses","gap","GAP-04","","direct","exact","verified","The conflict analysis keeps warrants separate.","Human cases remain planned."
"REL-011","artifact","ART-01","supports","claim","CLM-02","ART-01;ANL-01","direct","exact","verified","Implemented and browser-tested code supports the bounded apparatus claim.","Not an outcome claim."
"REL-012","analysis","ANL-01","supports","claim","CLM-02","ANL-01","direct","exact","verified","Unit, browser, network, blinding, and synthetic pipeline checks validate implementation behaviour.","Synthetic only."
"REL-013","limitation","LIM-01","bounds","claim","CLM-01","LIM-01","direct","exact","verified","No human evidence licenses the headline as a finding.","Headline remains a hypothesis."
"REL-014","limitation","LIM-01","bounds","claim","CLM-03","LIM-01","direct","exact","verified","Study A result is unavailable before human collection.",""
"REL-015","limitation","LIM-01","bounds","claim","CLM-04","LIM-01","direct","exact","verified","Study B result is unavailable before human collection.",""
"REL-016","limitation","LIM-01","bounds","claim","CLM-05","LIM-01","direct","exact","verified","Warrant-conflict result is unavailable before human collection.",""
"REL-017","data","DAT-01","produces","result","RES-01","","unverified","unknown","candidate","Planned Study A data will produce the maker result after frozen coding and analysis.","No data yet."
"REL-018","result","RES-01","supports","claim","CLM-03","","unverified","unknown","candidate","Planned Study A result would support the scoped maker claim.","No result yet."
"REL-019","claim","CLM-03","substantiates","contribution","CON-01","","direct","exact","verified","The scoped Study A claim is a declared component of the primary contribution.","Its evidence support remains planned."
"REL-020","data","DAT-02","produces","result","RES-02","","unverified","unknown","candidate","Planned Study B data will produce the audience result.","No data yet."
"REL-021","result","RES-02","supports","claim","CLM-04","","unverified","unknown","candidate","Planned audience result would support the scoped protocol claim if falsification gates pass.",""
"REL-022","claim","CLM-04","substantiates","contribution","CON-02","","direct","exact","verified","The protocol-effect claim is the declared basis of the evaluation contribution.","Its evidence support remains planned."
"REL-023","data","DAT-03","produces","result","RES-03","","unverified","unknown","candidate","Expert decisions join technical and audience records only after blinding freezes.","Cross-stage result also depends on DAT-01 and DAT-02."
"REL-024","result","RES-03","supports","claim","CLM-05","","unverified","unknown","candidate","Repeated conflict cases would support a situated non-substitution interpretation.","Counter-cases must remain visible."
"REL-025","claim","CLM-05","substantiates","contribution","CON-04","","direct","exact","verified","The conflict claim is the declared basis of the boundary contribution.","Its evidence support remains planned."
"REL-026","prior_work","SRC-02","limits","innovation","NOV-01","SRC-02","direct","partial","verified","Prior design-fiction evaluation work prevents claiming evaluation-fit as wholly new.",""
"REL-027","prior_work","SRC-03","limits","innovation","NOV-01","SRC-03","direct","partial","verified","Ambiguity as resource is established prior work.",""
"REL-028","innovation","NOV-01","characterises","contribution","CON-01","SRC-02;SRC-03","direct","exact","verified","The candidate cross-stage integration is explicitly attached to the primary contribution.","Novelty support remains partial."
"REL-029","innovation","NOV-02","characterises","contribution","CON-02","SRC-02;EVD-02","direct","exact","verified","The candidate common-probe design is explicitly attached to the evaluation contribution.","Novelty support remains partial."
"REL-030","innovation","NOV-01","compares_with","prior_work","SRC-02","SRC-02","partial","partial","candidate","Comparison target for design-fiction evaluation.",""
"REL-031","innovation","NOV-01","compares_with","prior_work","SRC-03","SRC-03","partial","partial","candidate","Comparison target for ambiguity-as-resource accounts.",""
"REL-032","innovation","NOV-02","compares_with","prior_work","SRC-02","SRC-02","partial","partial","candidate","Comparison target for evaluation-fit work.",""
"REL-033","source","SRC-01","supports","claim","CLM-01","SRC-01","partial","exact","verified","The venue framing supports treating speculative quality as situated across purpose and audience while the project-specific thesis remains hypothetical.","Human results are still required."
"REL-034","claim","CLM-02","substantiates","contribution","CON-03","ART-01;ANL-01","direct","exact","verified","The verified apparatus claim directly substantiates the enabling contribution.","No human outcome implied."
