object_id,object_type,statement_or_description,artifact_or_source,version,scope,method_or_measure,provenance_status,quality_status,uncertainty,status,notes
"SRC-01","source","Official IwC special-issue call frames speculative quality as situated by context, purpose, and audience and welcomes evaluation conflicts and failures.","https://academic.oup.com/iwc/pages/call-for-papers-special-issue-the-quality-of-speculation-in-human-computer-interaction","accessed-2026-08-27","Venue problem framing and submission fit.","Direct inspection of official venue page.","verified","checked","Does not establish project novelty or empirical findings.","available","Primary venue source."
"SRC-02","prior_work","Baumer et al. argue that design-fiction evaluation should fit the knowledge being produced.","https://doi.org/10.1145/3357236.3395464","2020","Design-fiction evaluation framing.","Direct inspection of publisher metadata and paper framing.","verified","checked","Adjacent prior work; exact applicability to this apparatus is interpretive.","available","Comparison and methodological support."
"SRC-03","prior_work","Gaver et al. establish ambiguity as a design resource.","https://doi.org/10.1145/642611.642653","2003","Ambiguity in interaction design.","Direct inspection of publisher metadata and paper framing.","verified","checked","Prevents claiming ambiguity itself as the innovation.","available","Novelty-limiting source."
"EVD-01","evidence","Existing Layered Redraw traces demonstrate local semantic patches, protected unselected layers, history, and rollback in two project cases.","F:/drawforfun/deliverables/hamster-bead-10mm/edit-request.json;F:/drawforfun/generated/rooftop-scarecrow-stained-glass/patches/001-hot-air-balloon-clarification.json","local-2026-08","Technical local-edit feasibility only.","Direct inspection of revision manifests and preserved-layer records.","traceable","checked","No participant or speculative-quality outcome.","available","Supports apparatus feasibility, not CLM-03."
"EVD-02","evidence","CAC human evaluation shows that agreement statistics can coexist with a construct-level mismatch in the global aggregation.","F:/drawforfun/cac_human_eval_web_v2/returns/three_reviewer_validated_20260731/04_reports/PAPER_READY_STATUS.md","frozen-local-2026-07-31","Motivation for separating reliability from construct validity.","Direct inspection of frozen local status and aggregation reports.","traceable","checked","Different task and construct; cannot support a speculative-evaluation effect.","available","Motivation only."
"ART-01","artifact","Implemented local-first Study A, Study B, expert audit, fixed stimuli with deterministic inline vector scenes, randomisation, immutable return export, ethics gate, and analysis pipeline.","studies/keeping-futures-contestable/","kfc-0.2.0","Three visual micro-speculations; demo-only until ethics activation.","Unit tests, browser execution, source inspection, and versioned local files.","verified","validated","Ecological and construct validity require a cognitive pilot and human study.","available","No external requests by design."
"ANL-01","analysis","Synthetic end-to-end pipeline and browser smoke: 27 returns, 60 coding units, all three vector scenes, both Study B protocols, expert blinding check, zero non-local requests, zero console errors.","artifacts/ui-smoke/report.json;data/demo/analysis/REPORT.md","kfc-0.2.0","Software and data-pipeline verification only.","Deterministic generator, validators, browser smoke, and analysis-ready joins.","traceable","validated","Synthetic data; not human evidence and not a paper result.","available","Explicitly labelled synthetic."
"DAT-01","data","Study A maker returns and interview/trace materials.","data/raw/study-a/","planned","Recruited makers; two counterbalanced tasks each.","Frozen protocol collection and immutable JSON returns.","unavailable","unknown","No formal participants recruited.","planned","Must not be inferred from demo data."
"RES-01","result","Study A contestatory-revision estimate, system-enforced locality manipulation audit, and qualitative mechanism results.","data/analysis/study-a/","planned","Study A licensed scope only.","Label-blinded coding; paired mechanism estimate; trace interpretation.","unavailable","unknown","No human data or result; fixed candidates and locality audit are not participant-effect outcomes.","planned","Headline unavailable."
"DAT-02","data","Study B audience returns under closed/open protocol and common neutral probe.","data/raw/study-b/","planned","Intended audiences; frozen artefact manifest.","Between-participant protocol assignment with a four-ID balanced incomplete source-workflow block and crossed artefact observations.","unavailable","unknown","No formal participants recruited; final N pending pilot simulation.","planned","Target at least 128 analysable cases unless formative fallback is approved."
"RES-02","result","Study B grounded interpretive breadth, comprehension, assumptions, alternatives, and diagnostic results.","data/analysis/study-b/","planned","Study B licensed scope only.","Blinded coding; clustered model; comprehension and length/time gates.","unavailable","unknown","No human data or result.","planned","No productive-ambiguity claim before falsification checks."
"DAT-03","data","Blinded expert curatorial KEEP/REVISE/REJECT returns.","data/raw/expert/","planned","Five to seven speculative-design experts reviewing technically eligible artefacts.","Purpose-linked blinded expert audit.","unavailable","unknown","No formal expert returns.","planned","Technical status remains hidden until decisions freeze."
"RES-03","result","Trace-linked technical, audience, and curatorial warrant-conflict cases.","data/analysis/cross-stage/","planned","Implemented artefacts and recruited samples only.","Contingency tables plus qualitative rationale and counter-case analysis.","unavailable","unknown","No human conflict cases.","planned","No universal non-substitution claim."
"LIM-01","limitation","The package currently contains no formal human results; ethics, pilot, recruitment, coding, and frozen analysis remain external gates.","ETHICS_HANDOFF.md;PILOT_CHECKLIST.md;PROTOCOL.md","0.1","Entire paper claim boundary before human collection.","Direct inspection of package status and config gate.","verified","checked","Status may change only through traceable approved work.","available","Must propagate through any abstract or submission draft."
