unit_id,study,brief_id,artefact_blind_id,material_json,contestatory_revision_0_2,rationale_specificity_0_2,new_assumption_count,unresolved_issue_present,grounded_interpretation_count,assumption_count,stakeholder_power_0_2,alternative_future_count,confusion_0_2,condition_guess,guess_confidence_0_2,coder_id,codebook_version,notes
UNIT-B7C85EDBFB7A0538EF,study-a,cooling-credit-2035,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""access"":""仅限绑定智能手机账户的常住居民"",""allocation"":""系统按照预测的“规则遵从概率”排列家庭"",""appeal"":""结果每晚自动更新，不提供个人复核""},""final_values"":{""access"":""仅限绑定智能手机账户的常住居民"",""allocation"":""居民、社区工作者与健康数据共同形成可解释的优先顺序"",""appeal"":""结果每晚自动更新，不提供个人复核""},""candidate_decisions"":[{""target_ids"":[""allocation""],""decision"":""APPLIED"",""semantic_diff"":[""allocation""],""visual_diff"":[""accent""]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改排序依据，让受影响者能够质疑决定。""}",1,0,2,0,,,,,,WHOLE_OUTPUT,2,SYNTHETIC-CODER,0.1,
UNIT-E07013864A63B93B57,study-a,carelink-home-2032,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""consent"":""首次安装即默认长期同意全部监测"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""final_values"":{""consent"":""首次安装即默认长期同意全部监测"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""只有持续变化且本人请求协助时才通知照护网络""},""candidate_decisions"":[{""target_ids"":[""escalation""],""decision"":""APPLIED"",""semantic_diff"":[""escalation""],""visual_diff"":[]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改升级规则，让受影响者能够质疑决定。""}",1,2,3,0,,,,,,LOCAL_LAYERED,1,SYNTHETIC-CODER,0.1,
UNIT-719D48A6C39171165A,study-a,cooling-credit-2035,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""access"":""仅限绑定智能手机账户的常住居民"",""allocation"":""系统按照预测的“规则遵从概率”排列家庭"",""appeal"":""结果每晚自动更新，不提供个人复核""},""final_values"":{""access"":""仅限绑定智能手机账户的常住居民"",""allocation"":""系统按照预测的“规则遵从概率”排列家庭"",""appeal"":""居民可要求人工复核，并看到影响决定的主要依据""},""candidate_decisions"":[{""target_ids"":[""appeal""],""decision"":""APPLIED"",""semantic_diff"":[""appeal""],""visual_diff"":[]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改复核方式，让受影响者能够质疑决定。""}",2,1,1,1,,,,,,LOCAL_LAYERED,2,SYNTHETIC-CODER,0.1,
UNIT-C999C8A6853BA9559C,study-a,carelink-home-2032,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""consent"":""首次安装即默认长期同意全部监测"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""final_values"":{""consent"":""紧急与日常数据采用不同同意规则，紧急访问会留下回执"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""candidate_decisions"":[{""target_ids"":[""consent""],""decision"":""APPLIED"",""semantic_diff"":[""consent""],""visual_diff"":[""layout""]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改同意机制，让受影响者能够质疑决定。""}",1,2,3,0,,,,,,UNSURE,0,SYNTHETIC-CODER,0.1,
UNIT-C4393DB39300904A21,study-a,carelink-home-2032,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""consent"":""首次安装即默认长期同意全部监测"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""final_values"":{""consent"":""紧急与日常数据采用不同同意规则，紧急访问会留下回执"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""candidate_decisions"":[{""target_ids"":[""consent""],""decision"":""APPLIED"",""semantic_diff"":[""consent""],""visual_diff"":[""layout""]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改同意机制，让受影响者能够质疑决定。""}",0,1,0,0,,,,,,WHOLE_OUTPUT,2,SYNTHETIC-CODER,0.1,
UNIT-6970111CF757E17E2F,study-a,common-ground-2040,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""representation"":""只有登记产权人拥有正式投票权"",""evidence"":""资产估值是唯一正式损失指标"",""distribution"":""优先保护总资产价值最高的街区""},""final_values"":{""representation"":""只有登记产权人拥有正式投票权"",""evidence"":""资产、健康、照护中断与被迫迁移风险并列记录"",""distribution"":""优先保护总资产价值最高的街区""},""candidate_decisions"":[{""target_ids"":[""evidence""],""decision"":""APPLIED"",""semantic_diff"":[""evidence""],""visual_diff"":[]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改有效证据，让受影响者能够质疑决定。""}",0,0,2,1,,,,,,LOCAL_LAYERED,1,SYNTHETIC-CODER,0.1,
UNIT-6C0DF0CD56D9306A73,study-a,carelink-home-2032,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""consent"":""首次安装即默认长期同意全部监测"",""visibility"":""所有家庭成员持续查看完整作息与异常记录"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""final_values"":{""consent"":""首次安装即默认长期同意全部监测"",""visibility"":""被照护者选择每位家属可见的摘要级别"",""escalation"":""系统把任何偏离常规的行为自动标为风险""},""candidate_decisions"":[{""target_ids"":[""visibility""],""decision"":""APPLIED"",""semantic_diff"":[""visibility""],""visual_diff"":[]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改数据可见性，让受影响者能够质疑决定。""}",2,2,3,1,,,,,,LOCAL_LAYERED,2,SYNTHETIC-CODER,0.1,
UNIT-B4AD9827B027FC5F73,study-a,common-ground-2040,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""representation"":""只有登记产权人拥有正式投票权"",""evidence"":""资产估值是唯一正式损失指标"",""distribution"":""优先保护总资产价值最高的街区""},""final_values"":{""representation"":""只有登记产权人拥有正式投票权"",""evidence"":""资产估值是唯一正式损失指标"",""distribution"":""每个方案同时公布受益者、承担风险者与未解决后果""},""candidate_decisions"":[{""target_ids"":[""distribution""],""decision"":""APPLIED"",""semantic_diff"":[""distribution""],""visual_diff"":[""layout""]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改保护分配，让受影响者能够质疑决定。""}",2,2,0,0,,,,,,UNSURE,0,SYNTHETIC-CODER,0.1,
UNIT-760AAF313A7E1E899E,study-a,common-ground-2040,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""representation"":""只有登记产权人拥有正式投票权"",""evidence"":""资产估值是唯一正式损失指标"",""distribution"":""优先保护总资产价值最高的街区""},""final_values"":{""representation"":""只有登记产权人拥有正式投票权"",""evidence"":""资产估值是唯一正式损失指标"",""distribution"":""先保障无法自行迁移的居民，再比较基础设施与资产损失""},""candidate_decisions"":[{""target_ids"":[""distribution""],""decision"":""APPLIED"",""semantic_diff"":[""distribution""],""visual_diff"":[""accent""]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改保护分配，让受影响者能够质疑决定。""}",0,0,1,0,,,,,,WHOLE_OUTPUT,2,SYNTHETIC-CODER,0.1,
UNIT-8E4784161065AC14CC,study-a,cooling-credit-2035,,"{""pre_assumptions"":""合成回答：系统预设某类数据和决策者具有更高权威。"",""base_values"":{""access"":""仅限绑定智能手机账户的常住居民"",""allocation"":""系统按照预测的“规则遵从概率”排列家庭"",""appeal"":""结果每晚自动更新，不提供个人复核""},""final_values"":{""access"":""数字额度与可转让纸质凭证并行，由社区站点发放"",""allocation"":""系统按照预测的“规则遵从概率”排列家庭"",""appeal"":""结果每晚自动更新，不提供个人复核""},""candidate_decisions"":[{""target_ids"":[""access""],""decision"":""APPLIED"",""semantic_diff"":[""access""],""visual_diff"":[]}],""changed_assumption"":""合成回答：改变了谁能参与决定以及什么证据可以进入复核。"",""newly_noticed"":""合成回答：注意到责任归属仍由机构预先规定。"",""unresolved"":""合成回答：紧急效率与共同决定之间仍有张力。"",""rationale_prompt"":""合成指令：修改领取入口，让受影响者能够质疑决定。""}",2,2,1,1,,,,,,LOCAL_LAYERED,2,SYNTHETIC-CODER,0.1,
