participant_id,allocation_block_id,internal_assignment,status
B-001,B-BLOCK-1,closed:flat-layered-flat,UNUSED
B-002,B-BLOCK-1,open:flat-layered-flat,UNUSED
B-003,B-BLOCK-1,closed:layered-flat-layered,UNUSED
B-004,B-BLOCK-1,open:layered-flat-layered,UNUSED
B-005,B-BLOCK-2,closed:flat-layered-flat,UNUSED
B-006,B-BLOCK-2,open:flat-layered-flat,UNUSED
B-007,B-BLOCK-2,closed:layered-flat-layered,UNUSED
B-008,B-BLOCK-2,open:layered-flat-layered,UNUSED
B-009,B-BLOCK-3,closed:flat-layered-flat,UNUSED
B-010,B-BLOCK-3,open:flat-layered-flat,UNUSED
B-011,B-BLOCK-3,closed:layered-flat-layered,UNUSED
B-012,B-BLOCK-3,open:layered-flat-layered,UNUSED
B-013,B-BLOCK-4,closed:flat-layered-flat,UNUSED
B-014,B-BLOCK-4,open:flat-layered-flat,UNUSED
B-015,B-BLOCK-4,closed:layered-flat-layered,UNUSED
B-016,B-BLOCK-4,open:layered-flat-layered,UNUSED
B-017,B-BLOCK-5,closed:flat-layered-flat,UNUSED
B-018,B-BLOCK-5,open:flat-layered-flat,UNUSED
B-019,B-BLOCK-5,closed:layered-flat-layered,UNUSED
B-020,B-BLOCK-5,open:layered-flat-layered,UNUSED
B-021,B-BLOCK-6,closed:flat-layered-flat,UNUSED
B-022,B-BLOCK-6,open:flat-layered-flat,UNUSED
B-023,B-BLOCK-6,closed:layered-flat-layered,UNUSED
B-024,B-BLOCK-6,open:layered-flat-layered,UNUSED
B-025,B-BLOCK-7,closed:flat-layered-flat,UNUSED
B-026,B-BLOCK-7,open:flat-layered-flat,UNUSED
B-027,B-BLOCK-7,closed:layered-flat-layered,UNUSED
B-028,B-BLOCK-7,open:layered-flat-layered,UNUSED
B-029,B-BLOCK-8,closed:flat-layered-flat,UNUSED
B-030,B-BLOCK-8,open:flat-layered-flat,UNUSED
B-031,B-BLOCK-8,closed:layered-flat-layered,UNUSED
B-032,B-BLOCK-8,open:layered-flat-layered,UNUSED
B-033,B-BLOCK-9,closed:flat-layered-flat,UNUSED
B-034,B-BLOCK-9,open:flat-layered-flat,UNUSED
B-035,B-BLOCK-9,closed:layered-flat-layered,UNUSED
B-036,B-BLOCK-9,open:layered-flat-layered,UNUSED
B-037,B-BLOCK-10,closed:flat-layered-flat,UNUSED
B-038,B-BLOCK-10,open:flat-layered-flat,UNUSED
B-039,B-BLOCK-10,closed:layered-flat-layered,UNUSED
B-040,B-BLOCK-10,open:layered-flat-layered,UNUSED
B-041,B-BLOCK-11,closed:flat-layered-flat,UNUSED
B-042,B-BLOCK-11,open:flat-layered-flat,UNUSED
B-043,B-BLOCK-11,closed:layered-flat-layered,UNUSED
B-044,B-BLOCK-11,open:layered-flat-layered,UNUSED
B-045,B-BLOCK-12,closed:flat-layered-flat,UNUSED
B-046,B-BLOCK-12,open:flat-layered-flat,UNUSED
B-047,B-BLOCK-12,closed:layered-flat-layered,UNUSED
B-048,B-BLOCK-12,open:layered-flat-layered,UNUSED
B-049,B-BLOCK-13,closed:flat-layered-flat,UNUSED
B-050,B-BLOCK-13,open:flat-layered-flat,UNUSED
B-051,B-BLOCK-13,closed:layered-flat-layered,UNUSED
B-052,B-BLOCK-13,open:layered-flat-layered,UNUSED
B-053,B-BLOCK-14,closed:flat-layered-flat,UNUSED
B-054,B-BLOCK-14,open:flat-layered-flat,UNUSED
B-055,B-BLOCK-14,closed:layered-flat-layered,UNUSED
